,Filial,Servico,CEP
33292,J3 FLEX SP,AVULSO,01020-010
33293,J3 FLEX SP,AVULSO,01020-020
33294,J3 FLEX SP,AVULSO,01020-030
33295,J3 FLEX SP,AVULSO,01020-040
33296,J3 FLEX SP,AVULSO,01020-050
33297,J3 FLEX SP,AVULSO,01020-900
33298,J3 FLEX SP,AVULSO,01020-901
33299,J3 FLEX SP,AVULSO,01020-902
33300,J3 FLEX SP,AVULSO,01020-903
33301,J3 FLEX SP,AVULSO,01020-904
33302,J3 FLEX SP,AVULSO,01021-000
33303,J3 FLEX SP,AVULSO,01021-100
33304,J3 FLEX SP,AVULSO,01021-200
33305,J3 FLEX SP,AVULSO,01021-900
33306,J3 FLEX SP,AVULSO,01021-901
33307,J3 FLEX SP,AVULSO,01021-902
33308,J3 FLEX SP,AVULSO,01021-903
33309,J3 FLEX SP,AVULSO,01022-000
33310,J3 FLEX SP,AVULSO,01022-010
33311,J3 FLEX SP,AVULSO,01022-020
33312,J3 FLEX SP,AVULSO,01022-030
33313,J3 FLEX SP,AVULSO,01022-040
33314,J3 FLEX SP,AVULSO,01022-050
33315,J3 FLEX SP,AVULSO,01022-060
33316,J3 FLEX SP,AVULSO,01022-070
33317,J3 FLEX SP,AVULSO,01023-000
33318,J3 FLEX SP,AVULSO,01023-001
33319,J3 FLEX SP,AVULSO,01023-010
33320,J3 FLEX SP,AVULSO,01023-020
33321,J3 FLEX SP,AVULSO,01023-030
33322,J3 FLEX SP,AVULSO,01023-040
33323,J3 FLEX SP,AVULSO,01023-050
33324,J3 FLEX SP,AVULSO,01023-060
33325,J3 FLEX SP,AVULSO,01023-070
33326,J3 FLEX SP,AVULSO,01023-900
33327,J3 FLEX SP,AVULSO,01023-902
33328,J3 FLEX SP,AVULSO,01023-903
33329,J3 FLEX SP,AVULSO,01023-904
33330,J3 FLEX SP,AVULSO,01023-905
33331,J3 FLEX SP,AVULSO,01023-906
33332,J3 FLEX SP,AVULSO,01024-000
33333,J3 FLEX SP,AVULSO,01024-100
33334,J3 FLEX SP,AVULSO,01024-900
33335,J3 FLEX SP,AVULSO,01025-000
33336,J3 FLEX SP,AVULSO,01025-001
33337,J3 FLEX SP,AVULSO,01025-010
33338,J3 FLEX SP,AVULSO,01025-020
33339,J3 FLEX SP,AVULSO,01025-900
33340,J3 FLEX SP,AVULSO,01026-000
33341,J3 FLEX SP,AVULSO,01026-001
33342,J3 FLEX SP,AVULSO,01026-010
33343,J3 FLEX SP,AVULSO,01026-900
33344,J3 FLEX SP,AVULSO,01026-901
33345,J3 FLEX SP,AVULSO,01026-902
33346,J3 FLEX SP,AVULSO,01026-903
33347,J3 FLEX SP,AVULSO,01026-904
33348,J3 FLEX SP,AVULSO,01027-000
33349,J3 FLEX SP,AVULSO,01027-001
33350,J3 FLEX SP,AVULSO,01027-010
33351,J3 FLEX SP,AVULSO,01027-020
33352,J3 FLEX SP,AVULSO,01027-030
33353,J3 FLEX SP,AVULSO,01027-040
33354,J3 FLEX SP,AVULSO,01027-900
33355,J3 FLEX SP,AVULSO,01028-000
33356,J3 FLEX SP,AVULSO,01028-010
33357,J3 FLEX SP,AVULSO,01028-020
33358,J3 FLEX SP,AVULSO,01028-900
33359,J3 FLEX SP,AVULSO,01029-000
33360,J3 FLEX SP,AVULSO,01029-001
33361,J3 FLEX SP,AVULSO,01029-010
33362,J3 FLEX SP,AVULSO,01029-900
33363,J3 FLEX SP,AVULSO,01029-901
33364,J3 FLEX SP,AVULSO,01029-902
